text,sentiment
CLA is on file as Square Inc.,0
Thanks a lot!,1
"Can you please provide a table of the browsers you tested, test cases, and the behavior before and after this change?",0
"Instead of . The conceptual model is that the only difference between sync default updates (in React 18) and concurrent default updates (in a future major release) is time slicing. All other behavior should be the same (i.e. the stuff in ). Given this, I think it makes more sense to model the implementation this way, too. This exposed a quirk in the previous implementation where non-sync work was sometimes mistaken for sync work and flushed too early. In the new implementation,  is only used for truly synchronous renders (i.e. ), which should make these mistakes less common. Fixes most of the tests marked with TODOs from #21072.",0
"This is really nice stuff, thanks! I need to make a few minor modification because the Flyway result wouldn't produce JSON and the ordering of auto-configurations needed to be tweaked. See 3995c16ba60bbeb1933c2233ffcab368655fb3c2 for the differences.",1
Thats true for almost every refactoring on this planet ;-).  Exposing implementation details to other classes are a no go even if it looks handy. I've seen more than one product that became unmaintainable after the sum of all technical depts get out of control. Every tiny improvement is a good invest for a healty product.,1
", I changed the implementation to keep the original  strategy and fallback to  if if fails with the error I mentioned in the issue. I included tests for the changes so I am not sure why the code coverage is not catching it.  I also updated the changelog.",0
"Should probably adjust the forward projection so it respects the same extents as the inverse. It might be nice to stream points to each sub-projection and use clipExtent when have support for it, so projecting the whole world and graticule will just work (although of course separate graticules are probably advisable due to differences in scale).",0
String values for representation now accepted.,0
This PR was merged into the repository by commit 4d8cc709e29096171c4f13138b32ef2ec4e0dd4c.,0
Thanks.,1
"Check out , that's the reworked version of this one.",1
"I see. On line 158 it adds it back again, but it's absent for the whole period of loading config files. Has to be a bug.",-1
"thanks,  does it mean my commit will be merged with your changes?",0
"M2 is approaching, any news about this one? Thanks!",0
"Presumably these extensions do something. Disabling them because it makes our API easier to use sounds to me like you are ""fixing"" this problem at the wrong layer.",-1
Just did the process again. It didn't look like it actually was signed (Why would it give that message?),0
"I will try to setup a scenario with wireshark next week to do a capture. El vie., 3 may. 2019 17:28, Pablo Ortiz <",0
Here we go : I committed all changes and sent pull request #14. I messed up again with git in squashing properly commits that's why pull request #12 was closed. I'm pretty happy with the results : it looks well designed and well integrated in Spring Security. I followed at best what we agreed upon and what I proposed. I did realize my first proposal has a bug as the isRememberMe() method was acting like the isAuthenticated() method. I added several unit tests and two integration tests you can call with : gradlew spring-security-samples-cassample:integrationTest. I'm looking forward to your feedback.,1
Assuming this was opened by error.,0
"Greetings, . I find current issue very useful and groundlessly freezed almost merged. After a glance view I have a few comments (I'm nobody at this community, so just ignore, if you find them useless): - Screenshot contains tiny lines on upper and right borders. - ""A look at the Header"" section fully copies code from previous one, but really uses only 5 lines of it. - In ""API Key in Cookies"" and ""API Key in Query"" where did  come from? As I see, you have copied it from test file, but I don't get why it is named the same there either. - Throughout,  class takes API key and uses it as a username. I think, it's not the variable name you want to use for a secret. - The last lines talk about  being , but such parameter does not even exist here. Move to the previous  description in A ""look at the Header"". -  makes no sense. May be make external function `can_make_reques_with_key(key) -",-1
So if we do order added then we'd have to do something else when we find the adapter  that would be akin to what 's last pull request did. So the benefit of ordering would make no difference. This just ensures that any adapters you have with freakishly long prefixes are matched first and returned.,0
"Use button instead of non-interactive element (div). (Removes a Svelte a11y warning.) Before submitting the PR, please make sure you do the following  [x] It's really useful if your PR references an issue where it is discussed ahead of time. In many cases, features are absent for a reason. For large changes, please create an RFC:  [x] Prefix your PR title with , , , or . [x] This message body should clearly illustrate what problems it solves. [ ] Ideally, include a test that fails without this PR but passes with it.  Tests  [ ] Run the tests with  and lint the project with",0
"That's what i thought.  In this case, i would say that we should not take this change.  'normal' Enums are mutable values as far as the language is concerned.  If you want enums that cannot change value, then the new 'const enum' feature is likely what you want. Thanks!",0
"Sorry for the late reply.. Thanks, Elan On Wed, Feb 3, 2016 at 3:41 AM, P M VADIVEL  wrote:",0
Just removed the arrow function.,0
"Thanks, ! Would you please squash your commits and format it to look something like: For extra context, please see the contribution guidelines for squashing and formatting commits.",0
"I REALLY like where this is going. In general, it feels that if someone uses JUnit, lazy verify should be the default, no? I鈥檓 not happy about extra public on Mockito class and the VerificationStrategy. Both APIs seem to be 鈥榠nternal鈥? not really for regular users. Also, I feel uneasy about adding mutable state MockitoCore object. If we need such state, MockingProgress is the way to go (thread safe to the level sufficient/required in Mockito). I鈥檓 wondering if we should start implementing some kind of listeners to the Mockito frameworks so that it is possible to implement such features easily. (brainstorming) Mockito.framework().addListener(x); VerificationListener {   verificationStarted } I need this kind of API/listeners, too. However, I鈥檓 not sure how well it fits your use case. I鈥檓 working on adding automated validation of unused stubs to the JUnit runner and the Mockito JUnit rule. In order to fail the test when it has unusued stubs, I need to a) set a listener that gets notified when stubbing is done / stubbing is used b) run test c) ensure that all stubs were used out. Thoughts? If that works better, we can brainstorm & discuss before you cut code. I don鈥檛 want to discourage you by my endless grumbling about how things should be implemented 馃槂 THANKS for pushing for this feature. I think it鈥檚 cool.",1
"hey, haven't tried this before, but we could try this? basically, you write this in setup.py: that way, we do issue warnings when stuff's old and we don't require some random package version upon install. i didn't previously know you could do a requirements.txt` (for pip) file (i don't have an elegant way to issue warnings based on that file though... it seems like a messy way to do it, unfortunately)",0
"Thanks for the analysis, that's very helpful! Because of the   argument in the link you gave. I totally forgot I had fix that in the  line. We introduced a different opinion for transactions (which is unfortunate considering the default for AOP and we've fixed that in 2.x). Your PR is spot on (in , thank you very much for the feedback).",1
"Great, thanks  ! I looked into your changes to learn the style... what do you mean by  Just curious :)",0
"The only place where I've left non-updated xfail tests is in , which I'm not quite sure what we're going to do with yet, but clearly it's going to get an overhaul. I was able to fix at least a handful of tests along the way here. There was one place where I changed an error message to make things a little more clear, in a way that I felt was good enough to change a test from xfailing to passing. (I'll point this out below.) Selected Reviewer:",1
Thanks again,1
Thanks for the PR. We discussed this again today and have decided that we'd prefer to tackle this by enhancing the existing code that looks at settings.xml to also honour the repositories that are configured there. Would you like to take a look at that in another PR?,0
"had only the most cursory of looks so far, and liked very much that for most of the code there is, as I would have hoped, absolutely no difference between what is done for  and for . This is duck-typing at its best!   The exceptions are the degree to radian conversions; my sense would be to not allow this. Effectively, this is equivalent to allowing some special units to be attached to , which is just what  is for. So, while I'm quite happy for plain numbers in an  to be considered to have dimension of radian (as this is equivalent to dimensionless, which is what a plain number should be), I don't like the idea of allowing plain numbers to really be degrees.",1
"ok, silly me, it was just a question of adding the new subpackages to the  list in . All green now!",1
"I saw that gwtproject/gwt#9206 seems to be resolved. Could someone restart following builds, please?    I'd like to avoid pushing commits just to trigger rebuild.",0
"<!-- First of all, thank you for your contribution! 馃槃 For requesting to pull a new feature or bugfix, please send it from a feature/bugfix branch based on the  branch. Before submitting your pull request, please make sure the checklist below is confirmed. Your pull requests will be merged after one of the collaborators approve. Thank you! -- [涓枃鐗堟ā鏉?/ Chinese template] 馃 This is a ...  [ ] New feature [ ] Bug fix [ ] Site / documentation update [ ] Demo update [x] Component style update [ ] TypeScript definition update [ ] Bundle size optimization [ ] Performance optimization [ ] Enhancement feature [ ] Internationalization [ ] Refactoring [ ] Code style optimization [ ] Test Case [ ] Branch merge [ ] Workflow [ ] Other (about what?)  馃敆 Related issue link fix: spin鐨刬con浼氭瘮瑙嗚涓婄殑楂樺害澶?px #42150 <!-- 1. Put the related issue or discussion links here. 2. close #xxxx or fix #xxxx for instance. -- 馃挕 Background and solution <!-- 1. Describe the problem and the scenario. 2. GIF or snapshot should be provided if includes UI/interactive modification. 3. How to fix the problem, and list the final API implementation and usage sample if that is a new feature. -- 馃摑 Changelog <!-- Describe changes from the user side, and list all potential break changes or other risks.  | Language   | Changelog | | ---------- | --------- | | 馃嚭馃嚫 English | fix(style): keep Spin's container height the same as the son element | | 馃嚚馃嚦 Chinese | fix(style): 淇濇寔spin瀹瑰櫒涓庡瓙鍏冪礌icon楂樺害涓€鑷?| 鈽戯笍 Self-Check before Merge 鈿狅笍 Please check all items below before requesting a reviewing. 鈿狅笍  [x] Doc is updated/provided or not needed [x] Demo is updated/provided or not needed [x] TypeScript definition is updated/provided or not needed [x] Changelog is provided or not needed   <!-- Below are template for copilot to generate CR message. Please DO NOT modify it. -- 馃殌 Summary <!-- copilot:summary --### <samp Improve the appearance and layout of the  component by tweaking its style file. 馃攳 Walkthrough <!-- copilot:walkthrough --### <samp * Fix the vertical alignment of the spin component by setting the font size of the spin container to zero and restoring the font size of the spin text to the base font size (link, link) in",1
Any Mac testers want to verify this at least doesn't make things worse and merge?,0
"I'll target 5.0, sure. This appears similar to #2809, however this PR's promise detection should be more generally applicable (not all Promises follow the A+ standard and implement a  method). This PR also adds tests. So I understand correctly, does rebasing on 5.0 alleviate concerns about breaking any existing uses? Or if it does not, then I'd love to know more about the specifics of those cases to protect against.",0
It should have said  but GitHub mangled it.,-1
"Pushed a commit that should fix the problem. The issue is that Conv3D and its gradient ops do not have BFLOAT16 kernel registered for Eigen CPU backend. So when the graph passes execute, the placer pass (?) throws an error when it sees Conv3D doesn't have a kernel registered in BFLOAT16 type. The placer runs even before AutoBFloat16Converter runs, and that leads to the problem.  Current mitigation is to register NoOp kernel for all of these operators in BFLOAT16 type that are not supported by Eigen CPU backend.",0
sorry. was out of town. will rebase tomorrow morning!,0
"I concur. Also, I don't like the idea of having a path as the key of a map. This feels a bit unnatural to me.",-1
